task,known_classes,total_classes,system_training,classifier_refine,compensation_total,comp_feature_extract,linear_wo_aux,linear_with_aux,ade_overhead_linear,nonlinear_weak_wo_aux,nonlinear_weak_with_aux,nonlinear_mlp_wo_aux,nonlinear_mlp_with_aux,nonlinear_beta_total,linear_alpha_total,total_runtime_no_eval
0,0,10,114.24773025512695,4.7272913455963135,26.84670662879944,23.538212537765503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.8217282295227
1,10,20,112.93287587165833,13.690264701843262,56.56825280189514,22.739701986312866,0.0,0.0,0.0,16.801337718963623,16.30292534828186,0.0,0.0,33.10426306724548,0.0,183.19139337539673
2,20,30,117.65589118003845,14.581531524658203,60.79828500747681,23.511622190475464,0.0,0.0,0.0,18.668615341186523,17.914787769317627,0.0,0.0,36.58340311050415,0.0,193.03570771217346
3,30,40,111.50877737998962,16.402342557907104,64.12477588653564,23.122649431228638,0.0,0.0,0.0,20.168317317962646,20.129853010177612,0.0,0.0,40.29817032814026,0.0,192.03589582443237
4,40,50,116.53661894798279,17.99931573867798,69.85040807723999,23.789517641067505,0.0,0.0,0.0,22.92859649658203,22.425785303115845,0.0,0.0,45.354381799697876,0.0,204.38634276390076
5,50,60,121.69552755355835,18.494057655334473,72.17708277702332,23.91608500480652,0.0,0.0,0.0,24.243547916412354,23.31848955154419,0.0,0.0,47.56203746795654,0.0,212.36666798591614
6,60,70,114.73279666900635,19.338268518447876,76.10574769973755,23.71315622329712,0.0,0.0,0.0,25.621286153793335,26.06280755996704,0.0,0.0,51.684093713760376,0.0,210.17681288719177
7,70,80,117.50475835800171,19.439554929733276,79.77225112915039,23.842742204666138,0.0,0.0,0.0,27.376219749450684,27.841960668563843,0.0,0.0,55.218180418014526,0.0,216.71656441688538
8,80,90,116.69210886955261,21.50107431411743,83.0909492969513,24.043555974960327,0.0,0.0,0.0,28.85142946243286,29.474173069000244,0.0,0.0,58.325602531433105,0.0,221.28413248062134
9,90,100,116.86602735519409,21.31708836555481,86.16909337043762,24.08564782142639,0.0,0.0,0.0,31.02766728401184,30.332321405410767,0.0,0.0,61.35998868942261,0.0,224.35220909118652
