task,known_classes,total_classes,system_training,classifier_refine,compensation_total,comp_feature_extract,linear_wo_aux,linear_with_aux,ade_overhead_linear,nonlinear_weak_wo_aux,nonlinear_weak_with_aux,nonlinear_mlp_wo_aux,nonlinear_mlp_with_aux,nonlinear_beta_total,linear_alpha_total,total_runtime_no_eval
0,0,10,113.64060854911804,4.535680770874023,25.757636547088623,22.493461847305298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.9339258670807
1,10,20,113.52871966362,4.907752752304077,23.16286277770996,22.452441930770874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.59933519363403
2,20,30,112.61992573738098,5.30578875541687,23.05996584892273,22.386022329330444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.98568034172058
3,30,40,114.36142706871033,5.7045111656188965,23.19181776046753,22.497370719909668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.25775599479675
4,40,50,115.1461353302002,5.791334629058838,22.745251178741455,22.054759979248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.6827211380005
5,50,60,116.78594946861267,6.291287183761597,22.931716918945312,22.2411847114563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.00895357131958
6,60,70,118.34437274932861,6.630407094955444,23.11778450012207,22.423739910125732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.09256434440613
7,70,80,116.22462153434753,6.881349802017212,23.286582231521606,22.59955382347107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.39255356788635
8,80,90,117.55611944198608,7.333341360092163,24.44683051109314,23.752713441848755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.3362913131714
9,90,100,117.35414481163025,7.475442171096802,23.225158214569092,22.53032374382019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.05474519729614
