task,known_classes,total_classes,system_training,classifier_refine,compensation_total,comp_feature_extract,linear_wo_aux,linear_with_aux,ade_overhead_linear,nonlinear_weak_wo_aux,nonlinear_weak_with_aux,nonlinear_mlp_wo_aux,nonlinear_mlp_with_aux,nonlinear_beta_total,linear_alpha_total,total_runtime_no_eval
0,0,10,112.16792607307434,4.7003607749938965,25.93555974960327,22.6582670211792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.8038465976715
1,10,20,143.15117120742798,4.680931329727173,23.164487838745117,22.458897829055786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.99659037590027
2,20,30,146.335143327713,4.786041259765625,23.143332481384277,22.449742794036865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.26451706886292
3,30,40,154.9297366142273,5.589818954467773,24.191720247268677,23.4849271774292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.71127581596375
4,40,50,153.96346831321716,6.129863500595093,23.854580640792847,23.164960145950317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.9479124546051
5,50,60,155.5631456375122,6.357854843139648,24.437874794006348,23.742361783981323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.3588752746582
6,60,70,156.1188564300537,6.760945081710815,24.251611471176147,23.52447009086609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.13141298294067
7,70,80,154.5372440814972,6.843810796737671,24.331581115722656,23.608213663101196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.71263599395752
8,80,90,157.26076412200928,7.282433748245239,24.555718898773193,23.81314778327942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0989167690277
9,90,100,149.89711785316467,7.361574649810791,23.24232268333435,22.533186674118042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.50101518630981
